                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                 1.1819,                0.76917,                 1.1713,                0.67426,                0.37616,                0.43103,                0.27821,                 1.5297,                 1.0738,                 1.5963,               0.004819,               0.004819,               0.004819
                    159,                 1.1808,                 0.7666,                 1.1678,                0.54143,                0.46046,                0.43093,                0.27813,                 1.5303,                 1.0734,                 1.5959,               0.004786,               0.004786,               0.004786
                    160,                 1.1909,                0.77273,                 1.1725,                0.54324,                 0.4625,                0.43059,                0.27817,                 1.5303,                 1.0732,                 1.5958,               0.004753,               0.004753,               0.004753
                    161,                  1.153,                0.74645,                 1.1563,                0.54133,                0.46317,                0.43071,                0.27813,                 1.5299,                 1.0722,                 1.5948,                0.00472,                0.00472,                0.00472
                    162,                 1.1841,                0.77055,                  1.167,                0.67339,                0.37341,                0.42997,                0.27784,                   1.53,                 1.0729,                 1.5943,               0.004687,               0.004687,               0.004687
                    163,                 1.1842,                0.76714,                 1.1673,                0.67337,                0.37287,                0.43022,                0.27858,                 1.5299,                 1.0733,                 1.5943,               0.004654,               0.004654,               0.004654
                    164,                 1.1758,                0.76094,                 1.1689,                0.67202,                0.37384,                0.42886,                0.27799,                 1.5296,                 1.0733,                  1.594,               0.004621,               0.004621,               0.004621
                    165,                 1.1612,                0.75279,                 1.1622,                0.67168,                0.37383,                0.42908,                0.27818,                 1.5307,                  1.073,                 1.5949,               0.004588,               0.004588,               0.004588
                    166,                 1.1581,                0.74825,                 1.1588,                0.66802,                0.37624,                 0.4282,                 0.2778,                 1.5309,                 1.0719,                  1.595,               0.004555,               0.004555,               0.004555
                    167,                 1.1647,                0.75635,                 1.1613,                0.66843,                0.37539,                0.42774,                0.27811,                 1.5301,                 1.0727,                 1.5935,               0.004522,               0.004522,               0.004522
                    168,                 1.1679,                0.75567,                 1.1618,                0.66664,                0.37561,                0.42755,                0.27762,                 1.5301,                 1.0729,                 1.5937,               0.004489,               0.004489,               0.004489
                    169,                 1.1703,                0.75539,                 1.1624,                0.67394,                0.37139,                0.42734,                0.27786,                 1.5298,                 1.0722,                 1.5939,               0.004456,               0.004456,               0.004456
                    170,                 1.1598,                0.75192,                 1.1517,                0.67275,                0.37092,                0.42778,                0.27796,                 1.5301,                  1.072,                 1.5933,               0.004423,               0.004423,               0.004423
                    171,                 1.1676,                0.75191,                 1.1587,                 0.6726,                0.37094,                0.42771,                0.27745,                   1.53,                 1.0711,                 1.5928,                0.00439,                0.00439,                0.00439
                    172,                 1.1642,                0.74638,                 1.1578,                0.67064,                0.37167,                0.42767,                 0.2772,                 1.5303,                 1.0713,                 1.5928,               0.004357,               0.004357,               0.004357
                    173,                 1.1693,                0.74738,                 1.1528,                0.67321,                0.37122,                0.42766,                0.27711,                 1.5301,                 1.0706,                 1.5923,               0.004324,               0.004324,               0.004324
                    174,                 1.1614,                0.74938,                 1.1545,                0.67142,                0.37132,                0.42821,                0.27739,                 1.5295,                 1.0702,                 1.5922,               0.004291,               0.004291,               0.004291
                    175,                 1.1587,                0.74848,                 1.1534,                0.67281,                0.37105,                 0.4282,                 0.2776,                 1.5292,                 1.0713,                 1.5918,               0.004258,               0.004258,               0.004258
                    176,                 1.1486,                0.74269,                 1.1499,                  0.674,                0.37063,                0.42789,                0.27759,                 1.5292,                 1.0706,                 1.5922,               0.004225,               0.004225,               0.004225
                    177,                  1.138,                0.73917,                 1.1516,                0.67917,                0.36946,                0.42717,                0.27734,                 1.5296,                 1.0714,                 1.5924,               0.004192,               0.004192,               0.004192
                    178,                  1.156,                0.74984,                  1.153,                0.68096,                0.36838,                 0.4269,                0.27711,                 1.5289,                 1.0705,                  1.592,               0.004159,               0.004159,               0.004159
                    179,                 1.1412,                0.73298,                 1.1482,                0.68289,                0.36853,                0.42794,                0.27789,                 1.5285,                 1.0715,                 1.5922,               0.004126,               0.004126,               0.004126
                    180,                 1.1525,                0.73828,                 1.1482,                0.68384,                0.36844,                0.42705,                 0.2777,                 1.5291,                 1.0718,                 1.5924,               0.004093,               0.004093,               0.004093
                    181,                 1.1503,                0.73896,                 1.1493,                0.69151,                0.36498,                0.42724,                0.27775,                 1.5291,                 1.0718,                 1.5923,                0.00406,                0.00406,                0.00406
                    182,                 1.1407,                0.73652,                 1.1407,                0.69191,                0.36519,                0.42715,                0.27778,                 1.5288,                 1.0718,                  1.592,               0.004027,               0.004027,               0.004027
                    183,                 1.1546,                0.74388,                 1.1435,                0.69204,                0.36503,                0.42726,                0.27777,                 1.5285,                 1.0727,                 1.5919,               0.003994,               0.003994,               0.003994
                    184,                 1.1536,                0.74307,                 1.1456,                0.69505,                0.36464,                 0.4268,                0.27788,                 1.5282,                 1.0722,                 1.5915,               0.003961,               0.003961,               0.003961
                    185,                 1.1465,                0.74086,                 1.1479,                 0.6957,                0.36451,                 0.4269,                0.27789,                 1.5286,                 1.0731,                 1.5918,               0.003928,               0.003928,               0.003928
                    186,                 1.1363,                0.72831,                 1.1415,                0.69618,                 0.3643,                0.42734,                0.27795,                 1.5285,                 1.0723,                 1.5915,               0.003895,               0.003895,               0.003895
                    187,                 1.1385,                0.73659,                 1.1404,                0.69623,                0.36326,                0.42701,                0.27793,                 1.5284,                 1.0732,                 1.5913,               0.003862,               0.003862,               0.003862
                    188,                 1.1296,                0.72794,                 1.1394,                0.69273,                0.36451,                0.42642,                 0.2779,                 1.5287,                 1.0731,                 1.5916,               0.003829,               0.003829,               0.003829
                    189,                 1.1288,                0.73035,                  1.141,                0.69598,                0.36399,                0.42646,                0.27792,                  1.528,                 1.0728,                 1.5909,               0.003796,               0.003796,               0.003796
                    190,                 1.1382,                0.72827,                 1.1377,                0.69619,                0.36418,                0.42655,                0.27811,                 1.5279,                 1.0718,                 1.5911,               0.003763,               0.003763,               0.003763
                    191,                  1.149,                0.73409,                 1.1451,                0.69601,                0.36405,                0.42642,                0.27819,                 1.5281,                 1.0721,                 1.5909,                0.00373,                0.00373,                0.00373
                    192,                 1.1355,                0.72566,                 1.1361,                0.69712,                0.36229,                0.42675,                0.27828,                 1.5289,                 1.0727,                 1.5913,               0.003697,               0.003697,               0.003697
                    193,                 1.1224,                0.72166,                 1.1347,                0.69642,                0.36453,                0.42651,                 0.2787,                 1.5294,                 1.0727,                 1.5915,               0.003664,               0.003664,               0.003664
